Date,Blood Type,Donations
2013-04-23,all,878
2013-04-24,all,1186
2013-04-25,all,1298
2013-04-26,all,816
2013-04-27,all,963
2013-04-28,all,2048
2013-04-29,all,912
2013-04-30,all,1001
2013-05-01,all,3249
2013-05-02,all,517
2013-05-03,all,563
2013-05-04,all,513
2013-05-05,all,0
2013-05-06,all,306
2013-05-07,all,601
2013-05-08,all,1375
2013-05-09,all,1438
2013-05-10,all,587
2013-05-11,all,1283
2013-05-12,all,1887
2013-05-13,all,893
2013-05-14,all,1651
2013-05-15,all,1458
2013-05-16,all,1226
2013-05-17,all,937
2013-05-18,all,1473
2013-05-19,all,2115
2013-05-20,all,720
2013-05-21,all,1541
2013-05-22,all,1256
2013-05-23,all,1011
2013-05-24,all,2292
2013-05-25,all,1725
2013-05-26,all,1694
2013-05-27,all,979
2013-05-28,all,1020
2013-05-29,all,1153
2013-05-30,all,1563
2013-05-31,all,1226
2013-06-01,all,987
2013-06-02,all,1469
2013-06-03,all,683
2013-06-04,all,1115
2013-06-05,all,1407
2013-06-06,all,1031
2013-06-07,all,615
2013-06-08,all,642
2013-06-09,all,1639
2013-06-10,all,868
2013-06-11,all,1221
2013-06-12,all,1371
2013-06-13,all,1238
2013-06-14,all,1187
2013-06-15,all,1302
2013-06-16,all,2102
2013-06-17,all,1343
2013-06-18,all,1595
2013-06-19,all,1488
2013-06-20,all,1684
2013-06-21,all,1066
2013-06-22,all,1667
2013-06-23,all,2037
2013-06-24,all,787
2013-06-25,all,1268
2013-06-26,all,1089
2013-06-27,all,1198
2013-06-28,all,1109
2013-06-29,all,1154
2013-06-30,all,1958
2013-07-01,all,1464
2013-07-02,all,1600
2013-07-03,all,1731
2013-07-04,all,1541
2013-07-05,all,1030
2013-07-06,all,2439
2013-07-07,all,3307
2013-07-08,all,1430
2013-07-09,all,1258
2013-07-10,all,254
2013-07-11,all,348
2013-07-12,all,553
2013-07-13,all,484
2013-07-14,all,2741
2013-07-15,all,480
2013-07-16,all,1033
2013-07-17,all,1214
2013-07-18,all,1118
2013-07-19,all,864
2013-07-20,all,661
2013-07-21,all,2281
2013-07-22,all,533
2013-07-23,all,849
2013-07-24,all,1693
2013-07-25,all,723
2013-07-26,all,610
2013-07-27,all,1177
2013-07-28,all,2729
2013-07-29,all,253
2013-07-30,all,682
2013-07-31,all,1139
2013-08-01,all,632
2013-08-02,all,398
2013-08-03,all,662
2013-08-04,all,2359
2013-08-05,all,401
2013-08-06,all,504
2013-08-07,all,241
2013-08-08,all,23
2013-08-09,all,19
2013-08-10,all,476
2013-08-11,all,1061
2013-08-12,all,524
2013-08-13,all,726
2013-08-14,all,1321
2013-08-15,all,938
2013-08-16,all,1073
2013-08-17,all,969
2013-08-18,all,2636
2013-08-19,all,632
2013-08-20,all,1571
2013-08-21,all,1617
2013-08-22,all,1271
2013-08-23,all,1088
2013-08-24,all,1091
2013-08-25,all,1488
2013-08-26,all,851
2013-08-27,all,1332
2013-08-28,all,1665
2013-08-29,all,1446
2013-08-30,all,839
2013-08-31,all,1582
2013-09-01,all,1359
2013-09-02,all,670
2013-09-03,all,1079
2013-09-04,all,1421
2013-09-05,all,1039
2013-09-06,all,564
2013-09-07,all,2516
2013-09-08,all,1738
2013-09-09,all,850
2013-09-10,all,1341
2013-09-11,all,1534
2013-09-12,all,1455
2013-09-13,all,960
2013-09-14,all,909
2013-09-15,all,1572
2013-09-16,all,1142
2013-09-17,all,832
2013-09-18,all,1698
2013-09-19,all,1581
2013-09-20,all,851
2013-09-21,all,1294
2013-09-22,all,2149
2013-09-23,all,896
2013-09-24,all,1899
2013-09-25,all,1470
2013-09-26,all,1076
2013-09-27,all,1039
2013-09-28,all,1286
2013-09-29,all,2419
2013-09-30,all,599
2013-10-01,all,1196
2013-10-02,all,1124
2013-10-03,all,1127
2013-10-04,all,740
2013-10-05,all,1442
2013-10-06,all,1841
2013-10-07,all,897
2013-10-08,all,1325
2013-10-09,all,1535
2013-10-10,all,1260
2013-10-11,all,955
2013-10-12,all,1380
2013-10-13,all,1837
2013-10-14,all,469
2013-10-15,all,146
2013-10-16,all,360
2013-10-17,all,1468
2013-10-18,all,457
2013-10-19,all,1324
2013-10-20,all,2136
2013-10-21,all,1226
2013-10-22,all,1354
2013-10-23,all,1706
2013-10-24,all,1306
2013-10-25,all,1704
2013-10-26,all,1401
2013-10-27,all,1835
2013-10-28,all,1021
2013-10-29,all,1027
2013-10-30,all,1498
2013-10-31,all,1039
2013-11-01,all,644
2013-11-02,all,1178
2013-11-03,all,1465
2013-11-04,all,440
2013-11-05,all,554
2013-11-06,all,769
2013-11-07,all,1298
2013-11-08,all,809
2013-11-09,all,832
2013-11-10,all,1973
2013-11-11,all,924
2013-11-12,all,1035
2013-11-13,all,1384
2013-11-14,all,1611
2013-11-15,all,1106
2013-11-16,all,983
2013-11-17,all,1144
2013-11-18,all,607
2013-11-19,all,970
2013-11-20,all,1548
2013-11-21,all,1238
2013-11-22,all,724
2013-11-23,all,994
2013-11-24,all,2121
2013-11-25,all,701
2013-11-26,all,1065
2013-11-27,all,1183
2013-11-28,all,1178
2013-11-29,all,1126
2013-11-30,all,956
2013-12-01,all,2388
2013-12-02,all,556
2013-12-03,all,952
2013-12-04,all,1682
2013-12-05,all,1353
2013-12-06,all,808
2013-12-07,all,1251
2013-12-08,all,1684
2013-12-09,all,690
2013-12-10,all,1342
2013-12-11,all,1470
2013-12-12,all,1422
2013-12-13,all,733
2013-12-14,all,1000
2013-12-15,all,2337
2013-12-16,all,677
2013-12-17,all,1395
2013-12-18,all,1405
2013-12-19,all,1140
2013-12-20,all,864
2013-12-21,all,1216
2013-12-22,all,1920
2013-12-23,all,726
2013-12-24,all,936
2013-12-25,all,753
2013-12-26,all,516
2013-12-27,all,978
2013-12-28,all,1109
2013-12-29,all,1602
2013-12-30,all,726
2013-12-31,all,754
2014-01-01,all,1300
2014-01-02,all,744
2014-01-03,all,564
2014-01-04,all,1122
2014-01-05,all,1319
2014-01-06,all,658
2014-01-07,all,1349
2014-01-08,all,1669
2014-01-09,all,1384
2014-01-10,all,846
2014-01-11,all,1392
2014-01-12,all,1969
2014-01-13,all,855
2014-01-14,all,908
2014-01-15,all,1336
2014-01-16,all,1488
2014-01-17,all,2647
2014-01-18,all,1250
2014-01-19,all,1704
2014-01-20,all,1233
2014-01-21,all,1719
2014-01-22,all,2211
2014-01-23,all,1527
2014-01-24,all,848
2014-01-25,all,1408
2014-01-26,all,1248
2014-01-27,all,1039
2014-01-28,all,1388
2014-01-29,all,1674
2014-01-30,all,1218
2014-01-31,all,385
2014-02-01,all,611
2014-02-02,all,570
2014-02-03,all,864
2014-02-04,all,876
2014-02-05,all,1208
2014-02-06,all,1318
2014-02-07,all,711
2014-02-08,all,672
2014-02-09,all,1561
2014-02-10,all,869
2014-02-11,all,1373
2014-02-12,all,1383
2014-02-13,all,1698
2014-02-14,all,1088
2014-02-15,all,1302
2014-02-16,all,1518
2014-02-17,all,677
2014-02-18,all,1438
2014-02-19,all,1483
2014-02-20,all,1378
2014-02-21,all,1073
2014-02-22,all,1416
2014-02-23,all,2252
2014-02-24,all,1079
2014-02-25,all,1752
2014-02-26,all,2025
2014-02-27,all,1530
2014-02-28,all,915
2014-03-01,all,737
2014-03-02,all,3107
2014-03-03,all,817
2014-03-04,all,948
2014-03-05,all,1501
2014-03-06,all,1104
2014-03-07,all,1503
2014-03-08,all,2535
2014-03-09,all,2034
2014-03-10,all,892
2014-03-11,all,1071
2014-03-12,all,1796
2014-03-13,all,1268
2014-03-14,all,856
2014-03-15,all,1377
2014-03-16,all,1956
2014-03-17,all,898
2014-03-18,all,1158
2014-03-19,all,1509
2014-03-20,all,998
2014-03-21,all,887
2014-03-22,all,1179
2014-03-23,all,1770
2014-03-24,all,690
2014-03-25,all,1028
2014-03-26,all,1139
2014-03-27,all,1549
2014-03-28,all,750
2014-03-29,all,1192
2014-03-30,all,1389
2014-03-31,all,662
2014-04-01,all,1557
2014-04-02,all,1299
2014-04-03,all,1494
2014-04-04,all,649
2014-04-05,all,942
2014-04-06,all,1615
2014-04-07,all,941
2014-04-08,all,1095
2014-04-09,all,1122
2014-04-10,all,1122
2014-04-11,all,795
2014-04-12,all,1511
2014-04-13,all,2181
2014-04-14,all,946
2014-04-15,all,1169
2014-04-16,all,1365
2014-04-17,all,1556
2014-04-18,all,906
2014-04-19,all,1471
2014-04-20,all,2658
2014-04-21,all,687
2014-04-22,all,1768
2014-04-23,all,1283
2014-04-24,all,1482
2014-04-25,all,1065
2014-04-26,all,1238
2014-04-27,all,2081
2014-04-28,all,1076
2014-04-29,all,1861
2014-04-30,all,715
2014-05-01,all,3656
2014-05-02,all,405
2014-05-03,all,1270
2014-05-04,all,1591
2014-05-05,all,807
2014-05-06,all,1235
2014-05-07,all,1238
2014-05-08,all,1425
2014-05-09,all,518
2014-05-10,all,898
2014-05-11,all,2204
2014-05-12,all,1008
2014-05-13,all,3095
2014-05-14,all,1098
2014-05-15,all,1545
2014-05-16,all,732
2014-05-17,all,1374
2014-05-18,all,3291
2014-05-19,all,820
2014-05-20,all,1409
2014-05-21,all,1643
2014-05-22,all,1330
2014-05-23,all,1067
2014-05-24,all,1747
2014-05-25,all,2182
2014-05-26,all,1015
2014-05-27,all,1302
2014-05-28,all,1624
2014-05-29,all,1115
2014-05-30,all,832
2014-05-31,all,1040
2014-06-01,all,1694
2014-06-02,all,535
2014-06-03,all,853
2014-06-04,all,1124
2014-06-05,all,1359
2014-06-06,all,822
2014-06-07,all,2009
2014-06-08,all,2117
2014-06-09,all,661
2014-06-10,all,1201
2014-06-11,all,1453
2014-06-12,all,1835
2014-06-13,all,1144
2014-06-14,all,1507
2014-06-15,all,2476
2014-06-16,all,1268
2014-06-17,all,1704
2014-06-18,all,1956
2014-06-19,all,1694
2014-06-20,all,819
2014-06-21,all,2359
2014-06-22,all,3155
2014-06-23,all,1472
2014-06-24,all,1603
2014-06-25,all,1563
2014-06-26,all,1630
2014-06-27,all,991
2014-06-28,all,1886
2014-06-29,all,1342
2014-06-30,all,297
2014-07-01,all,497
2014-07-02,all,751
2014-07-03,all,599
2014-07-04,all,373
2014-07-05,all,812
2014-07-06,all,2470
2014-07-07,all,537
2014-07-08,all,743
2014-07-09,all,1071
2014-07-10,all,719
2014-07-11,all,557
2014-07-12,all,919
2014-07-13,all,2591
2014-07-14,all,623
2014-07-15,all,410
2014-07-16,all,1269
2014-07-17,all,822
2014-07-18,all,803
2014-07-19,all,948
2014-07-20,all,2995
2014-07-21,all,698
2014-07-22,all,1109
2014-07-23,all,1375
2014-07-24,all,1197
2014-07-25,all,834
2014-07-26,all,643
2014-07-27,all,820
2014-07-28,all,14
2014-07-29,all,33
2014-07-30,all,543
2014-07-31,all,704
2014-08-01,all,747
2014-08-02,all,1126
2014-08-03,all,2032
2014-08-04,all,653
2014-08-05,all,1284
2014-08-06,all,1551
2014-08-07,all,1612
2014-08-08,all,1224
2014-08-09,all,1566
2014-08-10,all,2753
2014-08-11,all,783
2014-08-12,all,1508
2014-08-13,all,1695
2014-08-14,all,2171
2014-08-15,all,1361
2014-08-16,all,1137
2014-08-17,all,2881
2014-08-18,all,1009
2014-08-19,all,1560
2014-08-20,all,2107
2014-08-21,all,1557
2014-08-22,all,836
2014-08-23,all,1556
2014-08-24,all,2417
2014-08-25,all,902
2014-08-26,all,1394
2014-08-27,all,1911
2014-08-28,all,1270
2014-08-29,all,1079
2014-08-30,all,1282
2014-08-31,all,1997
2014-09-01,all,932
2014-09-02,all,793
2014-09-03,all,1320
2014-09-04,all,1015
2014-09-05,all,1093
2014-09-06,all,2436
2014-09-07,all,2163
2014-09-08,all,1025
2014-09-09,all,1666
2014-09-10,all,1806
2014-09-11,all,1227
2014-09-12,all,564
2014-09-13,all,1196
2014-09-14,all,2132
2014-09-15,all,598
2014-09-16,all,1334
2014-09-17,all,1527
2014-09-18,all,1739
2014-09-19,all,989
2014-09-20,all,1571
2014-09-21,all,2544
2014-09-22,all,1376
2014-09-23,all,1668
2014-09-24,all,3277
2014-09-25,all,2066
2014-09-26,all,1157
2014-09-27,all,2676
2014-09-28,all,2625
2014-09-29,all,1150
2014-09-30,all,1871
2014-10-01,all,1645
2014-10-02,all,1220
2014-10-03,all,539
2014-10-04,all,613
2014-10-05,all,405
2014-10-06,all,414
2014-10-07,all,1171
2014-10-08,all,1254
2014-10-09,all,993
2014-10-10,all,1338
2014-10-11,all,1458
2014-10-12,all,2273
2014-10-13,all,1288
2014-10-14,all,2149
2014-10-15,all,2021
2014-10-16,all,1844
2014-10-17,all,1499
2014-10-18,all,1622
2014-10-19,all,3206
2014-10-20,all,867
2014-10-21,all,1003
2014-10-22,all,1123
2014-10-23,all,828
2014-10-24,all,597
2014-10-25,all,901
2014-10-26,all,1721
2014-10-27,all,921
2014-10-28,all,1313
2014-10-29,all,1700
2014-10-30,all,1501
2014-10-31,all,1010
2014-11-01,all,1290
2014-11-02,all,1527
2014-11-03,all,874
2014-11-04,all,1289
2014-11-05,all,1665
2014-11-06,all,1197
2014-11-07,all,676
2014-11-08,all,1208
2014-11-09,all,2294
2014-11-10,all,825
2014-11-11,all,1525
2014-11-12,all,1809
2014-11-13,all,1200
2014-11-14,all,925
2014-11-15,all,1198
2014-11-16,all,2058
2014-11-17,all,991
2014-11-18,all,1258
2014-11-19,all,1716
2014-11-20,all,1765
2014-11-21,all,937
2014-11-22,all,921
2014-11-23,all,2023
2014-11-24,all,887
2014-11-25,all,1253
2014-11-26,all,1444
2014-11-27,all,1368
2014-11-28,all,1209
2014-11-29,all,1179
2014-11-30,all,2365
2014-12-01,all,854
2014-12-02,all,1126
2014-12-03,all,1459
2014-12-04,all,1788
2014-12-05,all,965
2014-12-06,all,1258
2014-12-07,all,2693
2014-12-08,all,829
2014-12-09,all,1467
2014-12-10,all,1452
2014-12-11,all,1422
2014-12-12,all,577
2014-12-13,all,1053
2014-12-14,all,2286
2014-12-15,all,807
2014-12-16,all,1457
2014-12-17,all,1533
2014-12-18,all,1326
2014-12-19,all,988
2014-12-20,all,1481
2014-12-21,all,1841
2014-12-22,all,822
2014-12-23,all,871
2014-12-24,all,918
2014-12-25,all,868
2014-12-26,all,645
2014-12-27,all,951
2014-12-28,all,2325
2014-12-29,all,935
2014-12-30,all,1136
2014-12-31,all,1347
2015-01-01,all,1557
2015-01-02,all,1099
2015-01-03,all,1975
2015-01-04,all,2073
2015-01-05,all,1103
2015-01-06,all,1296
2015-01-07,all,2602
2015-01-08,all,1578
2015-01-09,all,1655
2015-01-10,all,2074
2015-01-11,all,2770
2015-01-12,all,941
2015-01-13,all,1513
2015-01-14,all,2147
2015-01-15,all,1824
2015-01-16,all,1072
2015-01-17,all,2123
2015-01-18,all,1882
2015-01-19,all,1543
2015-01-20,all,1820
2015-01-21,all,1751
2015-01-22,all,1485
2015-01-23,all,581
2015-01-24,all,2429
2015-01-25,all,1839
2015-01-26,all,852
2015-01-27,all,1087
2015-01-28,all,1638
2015-01-29,all,1672
2015-01-30,all,745
2015-01-31,all,1675
2015-02-01,all,1391
2015-02-02,all,908
2015-02-03,all,3120
2015-02-04,all,1104
2015-02-05,all,1609
2015-02-06,all,645
2015-02-07,all,1455
2015-02-08,all,1782
2015-02-09,all,1181
2015-02-10,all,1344
2015-02-11,all,1297
2015-02-12,all,1883
2015-02-13,all,769
2015-02-14,all,1340
2015-02-15,all,1815
2015-02-16,all,1314
2015-02-17,all,1502
2015-02-18,all,1754
2015-02-19,all,389
2015-02-20,all,373
2015-02-21,all,970
2015-02-22,all,933
2015-02-23,all,1039
2015-02-24,all,1611
2015-02-25,all,1723
2015-02-26,all,1846
2015-02-27,all,977
2015-02-28,all,1607
2015-03-01,all,1553
2015-03-02,all,834
2015-03-03,all,1302
2015-03-04,all,1490
2015-03-05,all,1525
2015-03-06,all,817
2015-03-07,all,1718
2015-03-08,all,2671
2015-03-09,all,910
2015-03-10,all,1850
2015-03-11,all,2148
2015-03-12,all,1661
2015-03-13,all,1306
2015-03-14,all,1465
2015-03-15,all,2811
2015-03-16,all,871
2015-03-17,all,1400
2015-03-18,all,1622
2015-03-19,all,1201
2015-03-20,all,834
2015-03-21,all,1218
2015-03-22,all,2780
2015-03-23,all,860
2015-03-24,all,1535
2015-03-25,all,2087
2015-03-26,all,1549
2015-03-27,all,850
2015-03-28,all,1686
2015-03-29,all,1568
2015-03-30,all,772
2015-03-31,all,1374
2015-04-01,all,1405
2015-04-02,all,1370
2015-04-03,all,1105
2015-04-04,all,1610
2015-04-05,all,1514
2015-04-06,all,1207
2015-04-07,all,1824
2015-04-08,all,1714
2015-04-09,all,1428
2015-04-10,all,1117
2015-04-11,all,1760
2015-04-12,all,2149
2015-04-13,all,1110
2015-04-14,all,1479
2015-04-15,all,1546
2015-04-16,all,1462
2015-04-17,all,907
2015-04-18,all,1601
2015-04-19,all,2812
2015-04-20,all,1805
2015-04-21,all,1851
2015-04-22,all,1354
2015-04-23,all,1452
2015-04-24,all,1022
2015-04-25,all,1481
2015-04-26,all,2821
2015-04-27,all,625
2015-04-28,all,1330
2015-04-29,all,1278
2015-04-30,all,1171
2015-05-01,all,3263
2015-05-02,all,915
2015-05-03,all,2847
2015-05-04,all,496
2015-05-05,all,1027
2015-05-06,all,1776
2015-05-07,all,1232
2015-05-08,all,1172
2015-05-09,all,1171
2015-05-10,all,2835
2015-05-11,all,829
2015-05-12,all,1495
2015-05-13,all,1220
2015-05-14,all,1369
2015-05-15,all,935
2015-05-16,all,1516
2015-05-17,all,2311
2015-05-18,all,780
2015-05-19,all,1213
2015-05-20,all,1189
2015-05-21,all,3444
2015-05-22,all,726
2015-05-23,all,1256
2015-05-24,all,2128
2015-05-25,all,992
2015-05-26,all,1571
2015-05-27,all,2038
2015-05-28,all,1135
2015-05-29,all,1013
2015-05-30,all,1184
2015-05-31,all,1998
2015-06-01,all,1116
2015-06-02,all,928
2015-06-03,all,1524
2015-06-04,all,1323
2015-06-05,all,1203
2015-06-06,all,1234
2015-06-07,all,2159
2015-06-08,all,1139
2015-06-09,all,1355
2015-06-10,all,1736
2015-06-11,all,2137
2015-06-12,all,1793
2015-06-13,all,2212
2015-06-14,all,3806
2015-06-15,all,1501
2015-06-16,all,2075
2015-06-17,all,1602
2015-06-18,all,195
2015-06-19,all,279
2015-06-20,all,741
2015-06-21,all,2347
2015-06-22,all,399
2015-06-23,all,474
2015-06-24,all,760
2015-06-25,all,568
2015-06-26,all,716
2015-06-27,all,1520
2015-06-28,all,2317
2015-06-29,all,653
2015-06-30,all,865
2015-07-01,all,1001
2015-07-02,all,1002
2015-07-03,all,789
2015-07-04,all,917
2015-07-05,all,3707
2015-07-06,all,979
2015-07-07,all,1265
2015-07-08,all,1399
2015-07-09,all,1505
2015-07-10,all,1110
2015-07-11,all,1384
2015-07-12,all,2866
2015-07-13,all,978
2015-07-14,all,1207
2015-07-15,all,657
2015-07-16,all,337
2015-07-17,all,13
2015-07-18,all,266
2015-07-19,all,997
2015-07-20,all,958
2015-07-21,all,1126
2015-07-22,all,1168
2015-07-23,all,1091
2015-07-24,all,1305
2015-07-25,all,1849
2015-07-26,all,2839
2015-07-27,all,1285
2015-07-28,all,2124
2015-07-29,all,2204
2015-07-30,all,1429
2015-07-31,all,685
2015-08-01,all,1429
2015-08-02,all,2588
2015-08-03,all,1316
2015-08-04,all,1641
2015-08-05,all,1898
2015-08-06,all,1505
2015-08-07,all,891
2015-08-08,all,1441
2015-08-09,all,2692
2015-08-10,all,937
2015-08-11,all,1341
2015-08-12,all,4359
2015-08-13,all,1569
2015-08-14,all,1024
2015-08-15,all,1131
2015-08-16,all,3215
2015-08-17,all,836
2015-08-18,all,1493
2015-08-19,all,2521
2015-08-20,all,1726
2015-08-21,all,1005
2015-08-22,all,1747
2015-08-23,all,2587
2015-08-24,all,1043
2015-08-25,all,1522
2015-08-26,all,2017
2015-08-27,all,1759
2015-08-28,all,947
2015-08-29,all,981
2015-08-30,all,2290
2015-08-31,all,1517
2015-09-01,all,580
2015-09-02,all,1360
2015-09-03,all,1227
2015-09-04,all,1025
2015-09-05,all,2911
2015-09-06,all,2454
2015-09-07,all,1226
2015-09-08,all,1324
2015-09-09,all,1617
2015-09-10,all,1515
2015-09-11,all,992
2015-09-12,all,1557
2015-09-13,all,2928
2015-09-14,all,1083
2015-09-15,all,1699
2015-09-16,all,1939
2015-09-17,all,1335
2015-09-18,all,1248
2015-09-19,all,1588
2015-09-20,all,2630
2015-09-21,all,1139
2015-09-22,all,1089
2015-09-23,all,782
2015-09-24,all,176
2015-09-25,all,602
2015-09-26,all,805
2015-09-27,all,1673
2015-09-28,all,673
2015-09-29,all,1372
2015-09-30,all,1563
2015-10-01,all,1142
2015-10-02,all,738
2015-10-03,all,1324
2015-10-04,all,2630
2015-10-05,all,1300
2015-10-06,all,1091
2015-10-07,all,1427
2015-10-08,all,1811
2015-10-09,all,846
2015-10-10,all,1333
2015-10-11,all,2151
2015-10-12,all,1528
2015-10-13,all,1243
2015-10-14,all,1116
2015-10-15,all,1153
2015-10-16,all,945
2015-10-17,all,1117
2015-10-18,all,2254
2015-10-19,all,867
2015-10-20,all,1656
2015-10-21,all,1561
2015-10-22,all,1640
2015-10-23,all,861
2015-10-24,all,1741
2015-10-25,all,1793
2015-10-26,all,1187
2015-10-27,all,1542
2015-10-28,all,1692
2015-10-29,all,1721
2015-10-30,all,1187
2015-10-31,all,2615
2015-11-01,all,2989
2015-11-02,all,1164
2015-11-03,all,1703
2015-11-04,all,1677
2015-11-05,all,1770
2015-11-06,all,604
2015-11-07,all,962
2015-11-08,all,2417
2015-11-09,all,762
2015-11-10,all,1406
2015-11-11,all,1136
2015-11-12,all,1599
2015-11-13,all,891
2015-11-14,all,1056
2015-11-15,all,2084
2015-11-16,all,983
2015-11-17,all,1845
2015-11-18,all,1321
2015-11-19,all,1699
2015-11-20,all,1191
2015-11-21,all,1254
2015-11-22,all,2378
2015-11-23,all,1246
2015-11-24,all,1666
2015-11-25,all,1797
2015-11-26,all,1408
2015-11-27,all,969
2015-11-28,all,1269
2015-11-29,all,2492
2015-11-30,all,998
2015-12-01,all,1430
2015-12-02,all,1622
2015-12-03,all,1696
2015-12-04,all,954
2015-12-05,all,1667
2015-12-06,all,2357
2015-12-07,all,1125
2015-12-08,all,1893
2015-12-09,all,1771
2015-12-10,all,1578
2015-12-11,all,875
2015-12-12,all,1336
2015-12-13,all,2418
2015-12-14,all,805
2015-12-15,all,1580
2015-12-16,all,1522
2015-12-17,all,1695
2015-12-18,all,1067
2015-12-19,all,1414
2015-12-20,all,2458
2015-12-21,all,694
2015-12-22,all,1316
2015-12-23,all,1082
2015-12-24,all,648
2015-12-25,all,976
2015-12-26,all,943
2015-12-27,all,1936
2015-12-28,all,868
2015-12-29,all,1104
2015-12-30,all,1048
2015-12-31,all,1061
2016-01-01,all,1376
2016-01-02,all,1057
2016-01-03,all,1760
2016-01-04,all,831
2016-01-05,all,1127
2016-01-06,all,1289
2016-01-07,all,1099
2016-01-08,all,538
2016-01-09,all,1198
2016-01-10,all,2912
2016-01-11,all,1022
2016-01-12,all,1543
2016-01-13,all,1363
2016-01-14,all,1317
2016-01-15,all,749
2016-01-16,all,1181
2016-01-17,all,2332
2016-01-18,all,1101
2016-01-19,all,2069
2016-01-20,all,2080
2016-01-21,all,1832
2016-01-22,all,1433
2016-01-23,all,1024
2016-01-24,all,3335
2016-01-25,all,555
2016-01-26,all,1144
2016-01-27,all,1588
2016-01-28,all,2201
2016-01-29,all,990
2016-01-30,all,1187
2016-01-31,all,1585
2016-02-01,all,1007
2016-02-02,all,1470
2016-02-03,all,1913
2016-02-04,all,1744
2016-02-05,all,780
2016-02-06,all,1110
2016-02-07,all,851
2016-02-08,all,341
2016-02-09,all,691
2016-02-10,all,1179
2016-02-11,all,1433
2016-02-12,all,1035
2016-02-13,all,1371
2016-02-14,all,1477
2016-02-15,all,892
2016-02-16,all,1627
2016-02-17,all,1888
2016-02-18,all,2167
2016-02-19,all,938
2016-02-20,all,1371
2016-02-21,all,2093
2016-02-22,all,1364
2016-02-23,all,1824
2016-02-24,all,2162
2016-02-25,all,1694
2016-02-26,all,1264
2016-02-27,all,1460
2016-02-28,all,1972
2016-02-29,all,1194
2016-03-01,all,1264
2016-03-02,all,1528
2016-03-03,all,1287
2016-03-04,all,584
2016-03-05,all,1274
2016-03-06,all,2310
2016-03-07,all,930
2016-03-08,all,1588
2016-03-09,all,2083
2016-03-10,all,1782
2016-03-11,all,940
2016-03-12,all,1283
2016-03-13,all,2924
2016-03-14,all,1410
2016-03-15,all,1776
2016-03-16,all,2016
2016-03-17,all,1785
2016-03-18,all,1394
2016-03-19,all,2008
2016-03-20,all,2843
2016-03-21,all,966
2016-03-22,all,1464
2016-03-23,all,1470
2016-03-24,all,1447
2016-03-25,all,861
2016-03-26,all,1914
2016-03-27,all,1859
2016-03-28,all,1403
2016-03-29,all,1740
2016-03-30,all,1754
2016-03-31,all,2028
2016-04-01,all,526
2016-04-02,all,2301
2016-04-03,all,1904
2016-04-04,all,965
2016-04-05,all,1722
2016-04-06,all,2319
2016-04-07,all,1738
2016-04-08,all,1214
2016-04-09,all,1291
2016-04-10,all,2245
2016-04-11,all,805
2016-04-12,all,1555
2016-04-13,all,1774
2016-04-14,all,1630
2016-04-15,all,982
2016-04-16,all,1721
2016-04-17,all,3052
2016-04-18,all,1151
2016-04-19,all,1468
2016-04-20,all,1590
2016-04-21,all,1782
2016-04-22,all,1136
2016-04-23,all,1689
2016-04-24,all,2624
2016-04-25,all,1123
2016-04-26,all,1269
2016-04-27,all,1776
2016-04-28,all,1860
2016-04-29,all,648
2016-04-30,all,1076
2016-05-01,all,3960
2016-05-02,all,829
2016-05-03,all,787
2016-05-04,all,1458
2016-05-05,all,1560
2016-05-06,all,955
2016-05-07,all,1532
2016-05-08,all,2736
2016-05-09,all,1068
2016-05-10,all,1536
2016-05-11,all,1775
2016-05-12,all,2128
2016-05-13,all,1036
2016-05-14,all,1514
2016-05-15,all,2773
2016-05-16,all,1038
2016-05-17,all,1765
2016-05-18,all,2026
2016-05-19,all,1172
2016-05-20,all,1475
2016-05-21,all,3102
2016-05-22,all,2094
2016-05-23,all,1533
2016-05-24,all,1971
2016-05-25,all,2174
2016-05-26,all,1969
2016-05-27,all,1440
2016-05-28,all,1293
2016-05-29,all,2262
2016-05-30,all,1249
2016-05-31,all,1652
2016-06-01,all,1705
2016-06-02,all,1717
2016-06-03,all,1599
2016-06-04,all,2670
2016-06-05,all,2497
2016-06-06,all,229
2016-06-07,all,354
2016-06-08,all,679
2016-06-09,all,856
2016-06-10,all,787
2016-06-11,all,659
2016-06-12,all,2917
2016-06-13,all,486
2016-06-14,all,807
2016-06-15,all,1107
2016-06-16,all,864
2016-06-17,all,706
2016-06-18,all,1060
2016-06-19,all,1951
2016-06-20,all,1083
2016-06-21,all,1343
2016-06-22,all,593
2016-06-23,all,1440
2016-06-24,all,1379
2016-06-25,all,1636
2016-06-26,all,2780
2016-06-27,all,580
2016-06-28,all,1081
2016-06-29,all,1185
2016-06-30,all,1003
2016-07-01,all,866
2016-07-02,all,825
2016-07-03,all,2733
2016-07-04,all,644
2016-07-05,all,329
2016-07-06,all,5
2016-07-07,all,109
2016-07-08,all,432
2016-07-09,all,858
2016-07-10,all,2344
2016-07-11,all,834
2016-07-12,all,1310
2016-07-13,all,1506
2016-07-14,all,1264
2016-07-15,all,914
2016-07-16,all,1946
2016-07-17,all,3203
2016-07-18,all,769
2016-07-19,all,1281
2016-07-20,all,1778
2016-07-21,all,2046
2016-07-22,all,939
2016-07-23,all,1662
2016-07-24,all,2569
2016-07-25,all,1014
2016-07-26,all,1450
2016-07-27,all,2158
2016-07-28,all,1601
