Year,Hospital,State,Age Group,New Donors
2013,Hospital Sultanah Bahiyah,Kedah,45-49,682
2013,Hospital Sultanah Bahiyah,Kedah,50-54,414
2013,Hospital Sultanah Bahiyah,Kedah,55-59,161
2013,Hospital Sultanah Bahiyah,Kedah,60-64,21
2013,Hospital Sultanah Bahiyah,Kedah,other,11
2013,Hospital Sultanah Nora Ismail,Johor,17-24,1262
2013,Hospital Sultanah Nora Ismail,Johor,25-29,345
2013,Hospital Sultanah Nora Ismail,Johor,30-34,301
2013,Hospital Sultanah Nora Ismail,Johor,35-39,233
2013,Hospital Sultanah Nora Ismail,Johor,40-44,202
2013,Hospital Sultanah Nora Ismail,Johor,45-49,151
2013,Hospital Sultanah Nora Ismail,Johor,50-54,95
2013,Hospital Sultanah Nora Ismail,Johor,55-59,45
2013,Hospital Sultanah Nora Ismail,Johor,60-64,3
2013,Hospital Sultanah Nur Zahirah,Terengganu,17-24,4536
2013,Hospital Sultanah Nur Zahirah,Terengganu,25-29,537
2013,Hospital Sultanah Nur Zahirah,Terengganu,30-34,303
2013,Hospital Sultanah Nur Zahirah,Terengganu,35-39,190
2013,Hospital Sultanah Nur Zahirah,Terengganu,40-44,151
2013,Hospital Sultanah Nur Zahirah,Terengganu,45-49,103
2013,Hospital Sultanah Nur Zahirah,Terengganu,50-54,49
2013,Hospital Sultanah Nur Zahirah,Terengganu,55-59,15
2013,Hospital Sultanah Nur Zahirah,Terengganu,other,2
2013,Hospital Taiping,Perak,17-24,2070
2013,Hospital Taiping,Perak,25-29,675
2013,Hospital Taiping,Perak,30-34,517
2013,Hospital Taiping,Perak,35-39,420
2013,Hospital Taiping,Perak,40-44,444
2013,Hospital Taiping,Perak,45-49,355
2013,Hospital Taiping,Perak,50-54,287
2013,Hospital Taiping,Perak,55-59,126
2013,Hospital Taiping,Perak,60-64,14
2013,Hospital Taiping,Perak,other,14
2013,Hospital Tengku Ampuan Afzan,Pahang,17-24,1076
2013,Hospital Tengku Ampuan Afzan,Pahang,25-29,174
2013,Hospital Tengku Ampuan Afzan,Pahang,30-34,116
2013,Hospital Tengku Ampuan Afzan,Pahang,35-39,91
2013,Hospital Tengku Ampuan Afzan,Pahang,40-44,57
2013,Hospital Tengku Ampuan Afzan,Pahang,45-49,55
2013,Hospital Tengku Ampuan Afzan,Pahang,50-54,18
2013,Hospital Tengku Ampuan Afzan,Pahang,55-59,5
2013,Hospital Tengku Ampuan Afzan,Pahang,other,2
2013,Hospital Tengku Ampuan Rahimah,Selangor,17-24,3666
2013,Hospital Tengku Ampuan Rahimah,Selangor,25-29,1393
2013,Hospital Tengku Ampuan Rahimah,Selangor,30-34,1078
2013,Hospital Tengku Ampuan Rahimah,Selangor,35-39,857
2013,Hospital Tengku Ampuan Rahimah,Selangor,40-44,604
2013,Hospital Tengku Ampuan Rahimah,Selangor,45-49,456
2013,Hospital Tengku Ampuan Rahimah,Selangor,50-54,237
2013,Hospital Tengku Ampuan Rahimah,Selangor,55-59,107
2013,Hospital Tengku Ampuan Rahimah,Selangor,60-64,4
2013,Hospital Tengku Ampuan Rahimah,Selangor,other,13
2013,Hospital Tuanku Jaafar,Negeri Sembilan,17-24,3857
2013,Hospital Tuanku Jaafar,Negeri Sembilan,25-29,809
2013,Hospital Tuanku Jaafar,Negeri Sembilan,30-34,592
2013,Hospital Tuanku Jaafar,Negeri Sembilan,35-39,423
2013,Hospital Tuanku Jaafar,Negeri Sembilan,40-44,283
2013,Hospital Tuanku Jaafar,Negeri Sembilan,45-49,215
2013,Hospital Tuanku Jaafar,Negeri Sembilan,50-54,126
2013,Hospital Tuanku Jaafar,Negeri Sembilan,55-59,47
2013,Hospital Tuanku Jaafar,Negeri Sembilan,60-64,4
2013,Hospital Tuanku Jaafar,Negeri Sembilan,other,3
2014,Hospital Melaka,Melaka,17-24,6309
2014,Hospital Melaka,Melaka,25-29,1115
2014,Hospital Melaka,Melaka,30-34,845
2014,Hospital Melaka,Melaka,35-39,706
2014,Hospital Melaka,Melaka,40-44,530
2014,Hospital Melaka,Melaka,45-49,382
2014,Hospital Melaka,Melaka,50-54,244
2014,Hospital Melaka,Melaka,55-59,125
2014,Hospital Melaka,Melaka,60-64,11
2014,Hospital Melaka,Melaka,other,10
2014,Hospital Pulau Pinang,Pulau Pinang,17-24,2837
2014,Hospital Pulau Pinang,Pulau Pinang,25-29,1860
2014,Hospital Pulau Pinang,Pulau Pinang,30-34,2097
2014,Hospital Pulau Pinang,Pulau Pinang,35-39,1878
2014,Hospital Pulau Pinang,Pulau Pinang,40-44,1594
2014,Hospital Pulau Pinang,Pulau Pinang,45-49,1169
2014,Hospital Pulau Pinang,Pulau Pinang,50-54,588
2014,Hospital Pulau Pinang,Pulau Pinang,55-59,240
2014,Hospital Pulau Pinang,Pulau Pinang,60-64,60
2014,Hospital Pulau Pinang,Pulau Pinang,other,4
2014,Hospital Queen Elizabeth Ii,Sabah,17-24,3442
2014,Hospital Queen Elizabeth Ii,Sabah,25-29,1468
2014,Hospital Queen Elizabeth Ii,Sabah,30-34,1078
2014,Hospital Queen Elizabeth Ii,Sabah,35-39,833
2014,Hospital Queen Elizabeth Ii,Sabah,40-44,576
2014,Hospital Queen Elizabeth Ii,Sabah,45-49,373
2014,Hospital Queen Elizabeth Ii,Sabah,50-54,285
2014,Hospital Queen Elizabeth Ii,Sabah,55-59,111
2014,Hospital Queen Elizabeth Ii,Sabah,60-64,13
2014,Hospital Queen Elizabeth Ii,Sabah,other,27
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,2991
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,588
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,420
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,309
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,277
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,168
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,113
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,36
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,8
2014,Hospital Raja Perempuan Zainab Ii,Kelantan,other,2
2014,Hospital Raja Permaisuri Bainun,Perak,17-24,5935
2014,Hospital Raja Permaisuri Bainun,Perak,25-29,1070
2014,Hospital Raja Permaisuri Bainun,Perak,30-34,883
2014,Hospital Raja Permaisuri Bainun,Perak,35-39,668
2014,Hospital Raja Permaisuri Bainun,Perak,40-44,499
2014,Hospital Raja Permaisuri Bainun,Perak,45-49,312
2014,Hospital Raja Permaisuri Bainun,Perak,50-54,223
2014,Hospital Raja Permaisuri Bainun,Perak,55-59,86
2014,Hospital Raja Permaisuri Bainun,Perak,60-64,3
2014,Hospital Raja Permaisuri Bainun,Perak,other,43
2014,Hospital Seberang Jaya,Pulau Pinang,17-24,1942
2014,Hospital Seberang Jaya,Pulau Pinang,25-29,854
2014,Hospital Seberang Jaya,Pulau Pinang,30-34,921
2014,Hospital Seberang Jaya,Pulau Pinang,35-39,849
2014,Hospital Seberang Jaya,Pulau Pinang,40-44,647
2014,Hospital Seberang Jaya,Pulau Pinang,45-49,521
2014,Hospital Seberang Jaya,Pulau Pinang,50-54,239
2014,Hospital Seberang Jaya,Pulau Pinang,55-59,66
2014,Hospital Seberang Jaya,Pulau Pinang,60-64,6
2014,Hospital Seberang Jaya,Pulau Pinang,other,4
2014,Hospital Seri Manjung,Perak,17-24,1058
2014,Hospital Seri Manjung,Perak,25-29,199
2014,Hospital Seri Manjung,Perak,30-34,144
2014,Hospital Seri Manjung,Perak,35-39,101
2014,Hospital Seri Manjung,Perak,40-44,70
2014,Hospital Seri Manjung,Perak,45-49,57
2014,Hospital Seri Manjung,Perak,50-54,31
2014,Hospital Seri Manjung,Perak,55-59,10
2014,Hospital Seri Manjung,Perak,other,1
2014,Hospital Sultan Haji Ahmad Shah,Pahang,17-24,2440
2014,Hospital Sultan Haji Ahmad Shah,Pahang,25-29,320
2014,Hospital Sultan Haji Ahmad Shah,Pahang,30-34,328
2014,Hospital Sultan Haji Ahmad Shah,Pahang,35-39,213
2014,Hospital Sultan Haji Ahmad Shah,Pahang,40-44,170
2014,Hospital Sultan Haji Ahmad Shah,Pahang,45-49,129
2014,Hospital Sultan Haji Ahmad Shah,Pahang,50-54,110
2014,Hospital Sultan Haji Ahmad Shah,Pahang,55-59,68
2014,Hospital Sultan Haji Ahmad Shah,Pahang,60-64,2
2014,Hospital Sultan Haji Ahmad Shah,Pahang,other,2
2014,Hospital Sultanah Aminah,Johor,17-24,3682
2014,Hospital Sultanah Aminah,Johor,25-29,1811
2014,Hospital Sultanah Aminah,Johor,30-34,1527
2014,Hospital Sultanah Aminah,Johor,35-39,1235
2014,Hospital Sultanah Aminah,Johor,40-44,943
2014,Hospital Sultanah Aminah,Johor,45-49,554
2014,Hospital Sultanah Aminah,Johor,50-54,330
2014,Hospital Sultanah Aminah,Johor,55-59,151
2014,Hospital Sultanah Aminah,Johor,60-64,19
2014,Hospital Sultanah Aminah,Johor,other,35
2014,Hospital Sultanah Bahiyah,Kedah,17-24,11804
2014,Hospital Sultanah Bahiyah,Kedah,25-29,2318
2014,Hospital Sultanah Bahiyah,Kedah,30-34,1752
2014,Hospital Sultanah Bahiyah,Kedah,35-39,1255
2014,Hospital Sultanah Bahiyah,Kedah,40-44,990
2014,Hospital Sultanah Bahiyah,Kedah,45-49,660
2014,Hospital Sultanah Bahiyah,Kedah,50-54,442
2014,Hospital Sultanah Bahiyah,Kedah,55-59,172
2014,Hospital Sultanah Bahiyah,Kedah,60-64,14
2014,Hospital Sultanah Bahiyah,Kedah,other,16
2014,Hospital Sultanah Nora Ismail,Johor,17-24,1262
2014,Hospital Sultanah Nora Ismail,Johor,25-29,350
2014,Hospital Sultanah Nora Ismail,Johor,30-34,287
2014,Hospital Sultanah Nora Ismail,Johor,35-39,213
2014,Hospital Sultanah Nora Ismail,Johor,40-44,174
2014,Hospital Sultanah Nora Ismail,Johor,45-49,127
2014,Hospital Sultanah Nora Ismail,Johor,50-54,102
2014,Hospital Sultanah Nora Ismail,Johor,55-59,51
2014,Hospital Sultanah Nora Ismail,Johor,60-64,9
2014,Hospital Sultanah Nora Ismail,Johor,other,3
2014,Hospital Sultanah Nur Zahirah,Terengganu,17-24,4769
2014,Hospital Sultanah Nur Zahirah,Terengganu,25-29,488
2014,Hospital Sultanah Nur Zahirah,Terengganu,30-34,321
2014,Hospital Sultanah Nur Zahirah,Terengganu,35-39,163
2014,Hospital Sultanah Nur Zahirah,Terengganu,40-44,119
2014,Hospital Sultanah Nur Zahirah,Terengganu,45-49,79
2014,Hospital Sultanah Nur Zahirah,Terengganu,50-54,48
2014,Hospital Sultanah Nur Zahirah,Terengganu,55-59,16
2014,Hospital Sultanah Nur Zahirah,Terengganu,60-64,1
2014,Hospital Sultanah Nur Zahirah,Terengganu,other,2
2014,Hospital Taiping,Perak,17-24,1920
2014,Hospital Taiping,Perak,25-29,480
2014,Hospital Taiping,Perak,30-34,461
2014,Hospital Taiping,Perak,35-39,343
2014,Hospital Taiping,Perak,40-44,273
2014,Hospital Taiping,Perak,45-49,185
2014,Hospital Taiping,Perak,50-54,144
2014,Hospital Taiping,Perak,55-59,67
2014,Hospital Taiping,Perak,60-64,10
2014,Hospital Taiping,Perak,other,20
2014,Hospital Tengku Ampuan Afzan,Pahang,17-24,1070
2014,Hospital Tengku Ampuan Afzan,Pahang,25-29,188
2014,Hospital Tengku Ampuan Afzan,Pahang,30-34,146
2014,Hospital Tengku Ampuan Afzan,Pahang,35-39,96
2014,Hospital Tengku Ampuan Afzan,Pahang,40-44,65
2014,Hospital Tengku Ampuan Afzan,Pahang,45-49,40
2014,Hospital Tengku Ampuan Afzan,Pahang,50-54,28
2014,Hospital Tengku Ampuan Afzan,Pahang,55-59,6
2014,Hospital Tengku Ampuan Rahimah,Selangor,17-24,3987
2014,Hospital Tengku Ampuan Rahimah,Selangor,25-29,1357
2014,Hospital Tengku Ampuan Rahimah,Selangor,30-34,1104
2014,Hospital Tengku Ampuan Rahimah,Selangor,35-39,852
2014,Hospital Tengku Ampuan Rahimah,Selangor,40-44,673
2014,Hospital Tengku Ampuan Rahimah,Selangor,45-49,450
2014,Hospital Tengku Ampuan Rahimah,Selangor,50-54,208
2014,Hospital Tengku Ampuan Rahimah,Selangor,55-59,110
2014,Hospital Tengku Ampuan Rahimah,Selangor,60-64,6
2014,Hospital Tengku Ampuan Rahimah,Selangor,other,13
2014,Hospital Tuanku Jaafar,Negeri Sembilan,17-24,2767
2014,Hospital Tuanku Jaafar,Negeri Sembilan,25-29,608
2014,Hospital Tuanku Jaafar,Negeri Sembilan,30-34,594
2014,Hospital Tuanku Jaafar,Negeri Sembilan,35-39,405
2014,Hospital Tuanku Jaafar,Negeri Sembilan,40-44,324
2014,Hospital Tuanku Jaafar,Negeri Sembilan,45-49,235
2014,Hospital Tuanku Jaafar,Negeri Sembilan,50-54,149
2014,Hospital Tuanku Jaafar,Negeri Sembilan,55-59,67
2014,Hospital Tuanku Jaafar,Negeri Sembilan,60-64,6
2014,Hospital Tuanku Jaafar,Negeri Sembilan,other,6
2015,Hospital Melaka,Melaka,17-24,5811
2015,Hospital Melaka,Melaka,25-29,1275
2015,Hospital Melaka,Melaka,30-34,1037
2015,Hospital Melaka,Melaka,35-39,749
2015,Hospital Melaka,Melaka,40-44,581
2015,Hospital Melaka,Melaka,45-49,440
2015,Hospital Melaka,Melaka,50-54,276
2015,Hospital Melaka,Melaka,55-59,147
2015,Hospital Melaka,Melaka,60-64,13
2015,Hospital Melaka,Melaka,other,11
2015,Hospital Pulau Pinang,Pulau Pinang,17-24,3367
2015,Hospital Pulau Pinang,Pulau Pinang,25-29,1821
2015,Hospital Pulau Pinang,Pulau Pinang,30-34,1784
2015,Hospital Pulau Pinang,Pulau Pinang,35-39,1607
2015,Hospital Pulau Pinang,Pulau Pinang,40-44,1121
2015,Hospital Pulau Pinang,Pulau Pinang,45-49,783
2015,Hospital Pulau Pinang,Pulau Pinang,50-54,240
2015,Hospital Pulau Pinang,Pulau Pinang,55-59,55
2015,Hospital Pulau Pinang,Pulau Pinang,60-64,6
2015,Hospital Pulau Pinang,Pulau Pinang,other,5
2015,Hospital Queen Elizabeth Ii,Sabah,17-24,3517
2015,Hospital Queen Elizabeth Ii,Sabah,25-29,1476
2015,Hospital Queen Elizabeth Ii,Sabah,30-34,1146
2015,Hospital Queen Elizabeth Ii,Sabah,35-39,830
2015,Hospital Queen Elizabeth Ii,Sabah,40-44,549
2015,Hospital Queen Elizabeth Ii,Sabah,45-49,411
2015,Hospital Queen Elizabeth Ii,Sabah,50-54,240
2015,Hospital Queen Elizabeth Ii,Sabah,55-59,112
2015,Hospital Queen Elizabeth Ii,Sabah,60-64,13
2015,Hospital Queen Elizabeth Ii,Sabah,other,21
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,5353
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,852
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,652
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,475
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,410
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,294
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,152
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,96
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,8
2015,Hospital Raja Perempuan Zainab Ii,Kelantan,other,1
2015,Hospital Raja Permaisuri Bainun,Perak,17-24,5974
2015,Hospital Raja Permaisuri Bainun,Perak,25-29,974
2015,Hospital Raja Permaisuri Bainun,Perak,30-34,886
2015,Hospital Raja Permaisuri Bainun,Perak,35-39,647
2015,Hospital Raja Permaisuri Bainun,Perak,40-44,456
2015,Hospital Raja Permaisuri Bainun,Perak,45-49,305
2015,Hospital Raja Permaisuri Bainun,Perak,50-54,207
2015,Hospital Raja Permaisuri Bainun,Perak,55-59,74
2015,Hospital Raja Permaisuri Bainun,Perak,60-64,8
2015,Hospital Raja Permaisuri Bainun,Perak,other,15
2015,Hospital Seberang Jaya,Pulau Pinang,17-24,2829
2015,Hospital Seberang Jaya,Pulau Pinang,25-29,863
2015,Hospital Seberang Jaya,Pulau Pinang,30-34,903
2015,Hospital Seberang Jaya,Pulau Pinang,35-39,753
2015,Hospital Seberang Jaya,Pulau Pinang,40-44,637
2015,Hospital Seberang Jaya,Pulau Pinang,45-49,434
2015,Hospital Seberang Jaya,Pulau Pinang,50-54,163
2015,Hospital Seberang Jaya,Pulau Pinang,55-59,41
2015,Hospital Seberang Jaya,Pulau Pinang,60-64,1
2015,Hospital Seberang Jaya,Pulau Pinang,other,4
2015,Hospital Seri Manjung,Perak,17-24,1192
2015,Hospital Seri Manjung,Perak,25-29,249
2015,Hospital Seri Manjung,Perak,30-34,183
2015,Hospital Seri Manjung,Perak,35-39,144
2015,Hospital Seri Manjung,Perak,40-44,95
2015,Hospital Seri Manjung,Perak,45-49,65
2015,Hospital Seri Manjung,Perak,50-54,38
2015,Hospital Seri Manjung,Perak,55-59,18
2015,Hospital Seri Manjung,Perak,60-64,1
2015,Hospital Sultan Haji Ahmad Shah,Pahang,17-24,2188
2015,Hospital Sultan Haji Ahmad Shah,Pahang,25-29,329
2015,Hospital Sultan Haji Ahmad Shah,Pahang,30-34,348
2015,Hospital Sultan Haji Ahmad Shah,Pahang,35-39,207
2015,Hospital Sultan Haji Ahmad Shah,Pahang,40-44,167
2015,Hospital Sultan Haji Ahmad Shah,Pahang,45-49,167
2015,Hospital Sultan Haji Ahmad Shah,Pahang,50-54,154
2015,Hospital Sultan Haji Ahmad Shah,Pahang,55-59,59
2015,Hospital Sultan Haji Ahmad Shah,Pahang,60-64,12
2015,Hospital Sultanah Aminah,Johor,17-24,3859
2015,Hospital Sultanah Aminah,Johor,25-29,1763
2015,Hospital Sultanah Aminah,Johor,30-34,1622
2015,Hospital Sultanah Aminah,Johor,35-39,1263
2015,Hospital Sultanah Aminah,Johor,40-44,842
2015,Hospital Sultanah Aminah,Johor,45-49,556
2015,Hospital Sultanah Aminah,Johor,50-54,305
2015,Hospital Sultanah Aminah,Johor,55-59,136
2015,Hospital Sultanah Aminah,Johor,60-64,19
2015,Hospital Sultanah Aminah,Johor,other,63
2015,Hospital Sultanah Bahiyah,Kedah,17-24,11522
2015,Hospital Sultanah Bahiyah,Kedah,25-29,2323
2015,Hospital Sultanah Bahiyah,Kedah,30-34,1830
2015,Hospital Sultanah Bahiyah,Kedah,35-39,1373
2015,Hospital Sultanah Bahiyah,Kedah,40-44,1049
2015,Hospital Sultanah Bahiyah,Kedah,45-49,708
2015,Hospital Sultanah Bahiyah,Kedah,50-54,508
2015,Hospital Sultanah Bahiyah,Kedah,55-59,217
2015,Hospital Sultanah Bahiyah,Kedah,60-64,16
2015,Hospital Sultanah Bahiyah,Kedah,other,14
2015,Hospital Sultanah Nora Ismail,Johor,17-24,1253
2015,Hospital Sultanah Nora Ismail,Johor,25-29,343
2015,Hospital Sultanah Nora Ismail,Johor,30-34,250
2015,Hospital Sultanah Nora Ismail,Johor,35-39,182
2015,Hospital Sultanah Nora Ismail,Johor,40-44,175
2015,Hospital Sultanah Nora Ismail,Johor,45-49,123
2015,Hospital Sultanah Nora Ismail,Johor,50-54,97
2015,Hospital Sultanah Nora Ismail,Johor,55-59,39
2015,Hospital Sultanah Nora Ismail,Johor,60-64,12
2015,Hospital Sultanah Nora Ismail,Johor,other,3
2015,Hospital Sultanah Nur Zahirah,Terengganu,17-24,4530
2015,Hospital Sultanah Nur Zahirah,Terengganu,25-29,596
2015,Hospital Sultanah Nur Zahirah,Terengganu,30-34,393
2015,Hospital Sultanah Nur Zahirah,Terengganu,35-39,254
2015,Hospital Sultanah Nur Zahirah,Terengganu,40-44,188
2015,Hospital Sultanah Nur Zahirah,Terengganu,45-49,134
2015,Hospital Sultanah Nur Zahirah,Terengganu,50-54,100
2015,Hospital Sultanah Nur Zahirah,Terengganu,55-59,53
2015,Hospital Sultanah Nur Zahirah,Terengganu,60-64,2
2015,Hospital Sultanah Nur Zahirah,Terengganu,other,2
2015,Hospital Taiping,Perak,17-24,1655
2015,Hospital Taiping,Perak,25-29,438
2015,Hospital Taiping,Perak,30-34,349
2015,Hospital Taiping,Perak,35-39,299
2015,Hospital Taiping,Perak,40-44,258
2015,Hospital Taiping,Perak,45-49,157
2015,Hospital Taiping,Perak,50-54,145
2015,Hospital Taiping,Perak,55-59,82
2015,Hospital Taiping,Perak,60-64,13
2015,Hospital Taiping,Perak,other,10
2015,Hospital Tengku Ampuan Afzan,Pahang,17-24,981
2015,Hospital Tengku Ampuan Afzan,Pahang,25-29,165
2015,Hospital Tengku Ampuan Afzan,Pahang,30-34,119
2015,Hospital Tengku Ampuan Afzan,Pahang,35-39,85
2015,Hospital Tengku Ampuan Afzan,Pahang,40-44,76
2015,Hospital Tengku Ampuan Afzan,Pahang,45-49,51
2015,Hospital Tengku Ampuan Afzan,Pahang,50-54,26
2015,Hospital Tengku Ampuan Afzan,Pahang,55-59,8
2015,Hospital Tengku Ampuan Afzan,Pahang,60-64,2
2015,Hospital Tengku Ampuan Afzan,Pahang,other,1
2015,Hospital Tengku Ampuan Rahimah,Selangor,17-24,3692
2015,Hospital Tengku Ampuan Rahimah,Selangor,25-29,1354
2015,Hospital Tengku Ampuan Rahimah,Selangor,30-34,1112
2015,Hospital Tengku Ampuan Rahimah,Selangor,35-39,906
2015,Hospital Tengku Ampuan Rahimah,Selangor,40-44,602
2015,Hospital Tengku Ampuan Rahimah,Selangor,45-49,461
2015,Hospital Tengku Ampuan Rahimah,Selangor,50-54,245
2015,Hospital Tengku Ampuan Rahimah,Selangor,55-59,110
2015,Hospital Tengku Ampuan Rahimah,Selangor,60-64,5
2015,Hospital Tengku Ampuan Rahimah,Selangor,other,1
2015,Hospital Tuanku Jaafar,Negeri Sembilan,17-24,3418
2015,Hospital Tuanku Jaafar,Negeri Sembilan,25-29,754
2015,Hospital Tuanku Jaafar,Negeri Sembilan,30-34,647
2015,Hospital Tuanku Jaafar,Negeri Sembilan,35-39,486
2015,Hospital Tuanku Jaafar,Negeri Sembilan,40-44,380
2015,Hospital Tuanku Jaafar,Negeri Sembilan,45-49,313
2015,Hospital Tuanku Jaafar,Negeri Sembilan,50-54,215
2015,Hospital Tuanku Jaafar,Negeri Sembilan,55-59,92
2015,Hospital Tuanku Jaafar,Negeri Sembilan,60-64,19
2015,Hospital Tuanku Jaafar,Negeri Sembilan,other,2
2016,Hospital Melaka,Melaka,17-24,5712
2016,Hospital Melaka,Melaka,25-29,1149
2016,Hospital Melaka,Melaka,30-34,942
2016,Hospital Melaka,Melaka,35-39,678
2016,Hospital Melaka,Melaka,40-44,506
2016,Hospital Melaka,Melaka,45-49,383
2016,Hospital Melaka,Melaka,50-54,261
2016,Hospital Melaka,Melaka,55-59,133
2016,Hospital Melaka,Melaka,60-64,18
2016,Hospital Melaka,Melaka,other,5
2016,Hospital Pulau Pinang,Pulau Pinang,17-24,3245
2016,Hospital Pulau Pinang,Pulau Pinang,25-29,1420
2016,Hospital Pulau Pinang,Pulau Pinang,30-34,1380
2016,Hospital Pulau Pinang,Pulau Pinang,35-39,1187
2016,Hospital Pulau Pinang,Pulau Pinang,40-44,804
2016,Hospital Pulau Pinang,Pulau Pinang,45-49,561
2016,Hospital Pulau Pinang,Pulau Pinang,50-54,288
2016,Hospital Pulau Pinang,Pulau Pinang,55-59,115
2016,Hospital Pulau Pinang,Pulau Pinang,60-64,3
2016,Hospital Pulau Pinang,Pulau Pinang,other,5
2016,Hospital Queen Elizabeth Ii,Sabah,17-24,3459
2016,Hospital Queen Elizabeth Ii,Sabah,25-29,1310
2016,Hospital Queen Elizabeth Ii,Sabah,30-34,1066
2016,Hospital Queen Elizabeth Ii,Sabah,35-39,851
2016,Hospital Queen Elizabeth Ii,Sabah,40-44,570
2016,Hospital Queen Elizabeth Ii,Sabah,45-49,370
2016,Hospital Queen Elizabeth Ii,Sabah,50-54,253
2016,Hospital Queen Elizabeth Ii,Sabah,55-59,123
2016,Hospital Queen Elizabeth Ii,Sabah,60-64,12
2016,Hospital Queen Elizabeth Ii,Sabah,other,12
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,17-24,4267
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,25-29,753
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,30-34,572
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,35-39,448
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,40-44,375
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,45-49,258
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,50-54,176
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,55-59,87
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,60-64,11
2016,Hospital Raja Perempuan Zainab Ii,Kelantan,other,3
2016,Hospital Raja Permaisuri Bainun,Perak,17-24,6436
2016,Hospital Raja Permaisuri Bainun,Perak,25-29,938
2016,Hospital Raja Permaisuri Bainun,Perak,30-34,845
2016,Hospital Raja Permaisuri Bainun,Perak,35-39,577
2016,Hospital Raja Permaisuri Bainun,Perak,40-44,432
2016,Hospital Raja Permaisuri Bainun,Perak,45-49,282
2016,Hospital Raja Permaisuri Bainun,Perak,50-54,180
2016,Hospital Raja Permaisuri Bainun,Perak,55-59,89
2016,Hospital Raja Permaisuri Bainun,Perak,60-64,4
2016,Hospital Raja Permaisuri Bainun,Perak,other,3
2016,Hospital Seberang Jaya,Pulau Pinang,17-24,2035
2016,Hospital Seberang Jaya,Pulau Pinang,25-29,832
2016,Hospital Seberang Jaya,Pulau Pinang,30-34,809
2016,Hospital Seberang Jaya,Pulau Pinang,35-39,691
2016,Hospital Seberang Jaya,Pulau Pinang,40-44,504
2016,Hospital Seberang Jaya,Pulau Pinang,45-49,331
2016,Hospital Seberang Jaya,Pulau Pinang,50-54,98
2016,Hospital Seberang Jaya,Pulau Pinang,55-59,19
2016,Hospital Seberang Jaya,Pulau Pinang,60-64,4
2016,Hospital Seberang Jaya,Pulau Pinang,other,2
2016,Hospital Seri Manjung,Perak,17-24,760
2016,Hospital Seri Manjung,Perak,25-29,206
2016,Hospital Seri Manjung,Perak,30-34,170
2016,Hospital Seri Manjung,Perak,35-39,101
2016,Hospital Seri Manjung,Perak,40-44,84
2016,Hospital Seri Manjung,Perak,45-49,60
2016,Hospital Seri Manjung,Perak,50-54,30
2016,Hospital Seri Manjung,Perak,55-59,9
2016,Hospital Seri Manjung,Perak,other,2
2016,Hospital Sultan Haji Ahmad Shah,Pahang,17-24,1608
2016,Hospital Sultan Haji Ahmad Shah,Pahang,25-29,265
2016,Hospital Sultan Haji Ahmad Shah,Pahang,30-34,272
2016,Hospital Sultan Haji Ahmad Shah,Pahang,35-39,224
2016,Hospital Sultan Haji Ahmad Shah,Pahang,40-44,170
2016,Hospital Sultan Haji Ahmad Shah,Pahang,45-49,127
2016,Hospital Sultan Haji Ahmad Shah,Pahang,50-54,98
2016,Hospital Sultan Haji Ahmad Shah,Pahang,55-59,43
2016,Hospital Sultan Haji Ahmad Shah,Pahang,60-64,2
2016,Hospital Sultan Haji Ahmad Shah,Pahang,other,5
2016,Hospital Sultanah Aminah,Johor,17-24,3236
2016,Hospital Sultanah Aminah,Johor,25-29,1239
2016,Hospital Sultanah Aminah,Johor,30-34,1161
2016,Hospital Sultanah Aminah,Johor,35-39,883
2016,Hospital Sultanah Aminah,Johor,40-44,677
2016,Hospital Sultanah Aminah,Johor,45-49,423
2016,Hospital Sultanah Aminah,Johor,50-54,248
